original_filename,new_filename,title,year,entity,category,destination_folder,source_type,notes
2021-2025-national-industrial-development-and-logistics-program-delivery-plan-en.pdf,2021_2021_2025_national_industrial_development_and_logistics.pdf,Delivery Plan | 1,2021,2021,sector_programs,data\sector_programs,pdf,
2022-annual-report-en.pdf,2022_2022_annual_report.pdf,The Financial Sector,2022,2022,vision_reports,data\vision_reports,pdf,
ai-principles.pdf,2025_ai_principles.pdf,Ethics Principles,2025,ai,ai_governance,data\ai_governance,pdf,
AIAdoptionFramework.pdf,2025_aiadoptionframework_artificial_intelligence_adoption_framework.pdf,Artificial Intelligence Adoption Framework,2025,aiadoptionframework,strategies,data\strategies,pdf,
annual-report-2019-en.pdf,2019_mcit_annual_report.pdf,www.mcit.gov.sa,2019,mcit,vision_reports,data\vision_reports,pdf,
annual-report-2020-en.pdf,2020_annual_report.pdf,1 Annual Report 2020 |,2020,annual,vision_reports,data\vision_reports,pdf,
annual-report-2021-en.pdf,2021_annual_report.pdf,Aiming Higher,2021,annual,vision_reports,data\vision_reports,pdf,
ceda-vision-2030-5-year-update-v22.pdf,2030_vision2030_ceda_vision_5_update_v22.pdf,Vision 2030,2030,vision2030,vision_reports,data\vision_reports,pdf,
cloud_policy_en.pdf,2020_vision2030_cloud_policy.pdf,KSA Cloud,2020,vision2030,vision_reports,data\vision_reports,pdf,
Digital Government Strategic Directions.pdf,2022_digital_government_strategic_directions.pdf,Strategic Directions for,2022,digital,ai_governance,data\ai_governance,pdf,
En-Annual Report-Vision2030-2024.pdf,2024_vision2030_annual_report.pdf,We praise God for the remarkable progress our,2024,vision2030,vision_reports,data\vision_reports,pdf,
english-ntp-anuual-report-2023.pdf,2023_english_ntp_anuual_report.pdf,The National Transformation Program's Achievements,2023,english,vision_reports,data\vision_reports,pdf,
english_vision2030_annual_report_2023.pdf,2030_vision2030_annual_report_2023.pdf,Vision 2030,2030,vision2030,vision_reports,data\vision_reports,pdf,
fsdp_eng.pdf,2021_vision2030_fsdp_eng.pdf,Financial Sector,2021,vision2030,vision_reports,data\vision_reports,pdf,
GenAIGuidelinesForGovernmentENCompressed.pdf,2025_genaiguidelinesforgovernmentencompressed_generative_artificial_intelligence.pdf,Generative Artificial Intelligence,2025,genaiguidelinesforgovernmentencompressed,job_postings,data\job_postings,pdf,
Generative AI in Digital Government-V1.0.pdf,2025_generative_ai_in_digital_government_0.pdf,Generative AI,2025,generative,ai_governance,data\ai_governance,pdf,
hcdp_annual-report-2024_-en.pdf,2024_hcdp_annual_report.pdf,annual report,2024,hcdp,vision_reports,data\vision_reports,pdf,
ict_strategy_summary.pdf,unknown_year_ict_strategy_summary.pdf,Saudi Arabia ICT Sector Strategy 2023Summary,unknown_year,ict,ai_governance,data\ai_governance,pdf,
KSA Computing Infrastructure Whiter Paper.pdf,2025_vision2030_ksa_computing_infrastructure_whiter_paper.pdf,KSA: The National,2025,vision2030,vision_reports,data\vision_reports,pdf,
national-biotech-strategy-en.pdf,2024_vision2030_national_biotech_strategy.pdf,The National,2024,vision2030,vision_reports,data\vision_reports,pdf,
national-investment-strategy.pdf,2021_vision2030_national_investment_strategy.pdf,Saudi Arabia’s,2021,vision2030,vision_reports,data\vision_reports,pdf,
national_cybersecurity_strategy-en.pdf,2020_national_cybersecurity_strategy.pdf,National Cybersecurity Strategy,2020,national,strategies,data\strategies,pdf,
nges_strategy_en.pdf,2030_nges_strategy.pdf,What is the National,2030,nges,sector_programs,data\sector_programs,pdf,
nsd_en.pdf,unknown_year_nsd_national_industrial.pdf,National Industrial,unknown_year,nsd,human_capital,data\human_capital,pdf,
ntp_eng_opt.pdf,2021_ntp_eng_opt.pdf,National Transformation Program,2021,ntp,sector_programs,data\sector_programs,pdf,
PSFDataAndAIBook.pdf,unknown_year_sdaia_psfdataandaibook.pdf,National Occupational,unknown_year,sdaia,sector_programs,data\sector_programs,pdf,
saudi_vision2030.pdf,unknown_year_vision2030_saudi.pdf,Saudi,unknown_year,vision2030,strategies,data\strategies,pdf,
SaudiAcademicFramework.pdf,2023_saudiacademicframework_project_saudi_academic_framework_for_ai.pdf,Project Draft: Saudi Academic Framework for AI Qualifications,2023,saudiacademicframework,human_capital,data\human_capital,pdf,
scywf_en.pdf,2020_scywf_scywf_1_2020.pdf,SCyWF - 1 : 2020,2020,scywf,strategies,data\strategies,pdf,
vision2030_annual_report_2025_en.pdf,2030_vision2030_annual_report_2025.pdf,After a decade of progress under Vision,2030,vision2030,vision_reports,data\vision_reports,pdf,
https://www.vision2030.gov.sa/media/ecdjfopq/vision2030_annual_report_2025_en.pdf,2025_vision2030_annual_report.pdf,Vision 2030 Annual Report 2025,2025,vision2030,vision_reports,data\vision_reports,pdf,Official Vision 2030 annual report.
https://www.vision2030.gov.sa/media/pgid4z3t/2021-2025-human-capability-development-program-delivery-plan-en.pdf,2021_hcdp_delivery_plan_2021_2025.pdf,Human Capability Development Program Delivery Plan 2021-2025,2021,hcdp,human_capital,data\human_capital,pdf,"Official Vision 2030 delivery plan focused on education, training, and workforce capabilities."
https://www.hrsd.gov.sa/sites/default/files/2025-02/Digital%20Sector%20Skills%20Intro%20Report_EN.pdf,2025_hrsd_digital_sector_skills_intro_report.pdf,Digital Sector Skills Intro Report,2025,hrsd,human_capital,data\human_capital,pdf,Official HRSD sector skills report for digital occupations and skills.
https://www.hrsd.gov.sa/sites/default/files/2025-02/Tourism%20and%20Hospitality%20Sector%20Skills%20Dictionary_EN.pdf,2025_hrsd_tourism_hospitality_sector_skills_dictionary.pdf,Tourism and Hospitality Sector Skills Dictionary,2025,hrsd,human_capital,data\human_capital,pdf,Official HRSD sector skills dictionary.
https://www.hrsd.gov.sa/sites/default/files/2025-02/Professional%20and%20Consulting%20Services%20Sector%20Skills%20Dictionary_EN.pdf,2025_hrsd_professional_consulting_services_skills_dictionary.pdf,Professional and Consulting Services Sector Skills Dictionary,2025,hrsd,human_capital,data\human_capital,pdf,Official HRSD sector skills dictionary.
https://www.stats.gov.sa/documents/20117/2435273/LMS%2BQ2_2025_EN.pdf/c596f7f3-bfce-007a-b0ed-83792da1654f,2025_gastat_labor_market_statistics_q2.pdf,Labor Market Statistics Q2 2025,2025,gastat,sector_programs,data\sector_programs,pdf,Official GASTAT labor market bulletin.
https://www.stats.gov.sa/documents/20117/2435273/LMS%2BQ3_2025%2BEN.pdf/6fba3faf-5cba-a828-51c9-dc74278856d0,2025_gastat_labor_market_statistics_q3.pdf,Labor Market Statistics Q3 2025,2025,gastat,sector_programs,data\sector_programs,pdf,Official GASTAT labor market bulletin.
https://sdaia.gov.sa/en/SDAIA/about/Documents/ai-principles.pdf,2023_sdaia_ai_ethics_principles.pdf,AI Ethics Principles,2023,sdaia,ai_governance,data\ai_governance,pdf,Official SDAIA AI ethics principles and controls.
https://nca.gov.sa/scywf_en.pdf,2020_nca_saudi_cybersecurity_workforce_framework.pdf,Saudi Cybersecurity Workforce Framework,2020,nca,human_capital,data\human_capital,pdf,"Official NCA workforce framework covering cybersecurity roles, tasks, knowledge, skills, and abilities."
https://www.pif.gov.sa/en/our-investments/our-portfolio/humain/,2025_pif_humain_company_profile.md,HUMAIN Company Profile,2025,humain,company_profiles,data/company_profiles,web_profile,Curated markdown profile from official PIF portfolio page.
https://www.pif.gov.sa/en/our-investments/our-portfolio/saudi-company-for-artificial-intelligence/,2025_pif_scai_company_profile.md,Saudi Company for Artificial Intelligence Company Profile,2025,scai,company_profiles,data/company_profiles,web_profile,Curated markdown profile from official PIF portfolio page.
https://www.vision2030.gov.sa/en/explore/projects/alat,2024_vision2030_alat_company_profile.md,Alat Company Profile,2024,alat,company_profiles,data/company_profiles,web_profile,Curated markdown profile from official Vision 2030 project page.
